"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Group Tracking for Video Monitoring Systems: A Spatio-Temporal Query Processing Approach","H. Yoon; D. Choi; Y. D. Chung","Department of Computer Science and Engineering, Korea University, Seoul, Republic of Korea; Department of Computer Science and Engineering, Korea University, Seoul, Republic of Korea; Department of Computer Science and Engineering, Korea University, Seoul, Republic of Korea","IEEE Access","2 Mar 2023","2023","11","","19969","19987","Recently, many video monitoring systems utilize deep learning technologies to recognize locations and trajectories of people in video data. In video monitoring systems, a fast discovery of human groups is an important task for several applications, for example, crime surveillance, contact tracing, and customer behavior analysis. To tackle the demand, we propose a group tracking method. First, we propose a spatial proximity definition and define a novel query type, a group tracking query that considers characteristics of video data. A group tracking query retrieves the groups that travel for more than a certain amount of video frame within a certain distance. We propose an efficient query processing method that exploits the spatio-temporal characteristics of groups. Through extensive experiments using real-world datasets, we verify the efficiency and effectiveness of our query definition and query processing method.","2169-3536","","10.1109/ACCESS.2023.3249190","National Research Foundation of Korea (NRF); Korean Government [Ministry of Science and ICT (MIST)](grant numbers:2020R1A2C2013286); Basic Science Research Program through the National Research Foundation of Korea (NRF); Ministry of Education(grant numbers:NRF-2021R1A6A1A13044830); MSIT under the Information and Communications Technology (ICT) Creative Consilience Program Supervised by the Institute for Information & Communications Technology Planning & Evaluation (IITP)(grant numbers:IITP-2023-2020-0-01819); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10054033","Spatio-temporal query processing;spatial data management;spatial databases;video query processing;video monitoring systems","Spatiotemporal phenomena;Data processing;Query processing;Spatial databases;Video coding","","1","","28","CCBYNCND","27 Feb 2023","","","IEEE","IEEE Journals"
"Modeling Noisy Annotations for Point-Wise Supervision","J. Wan; Q. Wu; A. B. Chan","Department of Computer Science, City University of Hong Kong, Kowloon Tong, Hong Kong; Department of Computer Science, City University of Hong Kong, Kowloon Tong, Hong Kong; Department of Computer Science, City University of Hong Kong, Kowloon Tong, Hong Kong","IEEE Transactions on Pattern Analysis and Machine Intelligence","3 Nov 2023","2023","45","12","15065","15080","Point-wise supervision is widely adopted in computer vision tasks such as crowd counting and human pose estimation. In practice, the noise in point annotations may affect the performance and robustness of algorithm significantly. In this paper, we investigate the effect of annotation noise in point-wise supervision and propose a series of robust loss functions for different tasks. In particular, the point annotation noise includes spatial-shift noise, missing-point noise, and duplicate-point noise. The spatial-shift noise is the most common one, and exists in crowd counting, pose estimation, visual tracking, etc, while the missing-point and duplicate-point noises usually appear in dense annotations, such as crowd counting. In this paper, we first consider the shift noise by modeling the real locations as random variables and the annotated points as noisy observations. The probability density function of the intermediate representation (a smooth heat map generated from dot annotations) is derived and the negative log likelihood is used as the loss function to naturally model the shift uncertainty in the intermediate representation. The missing and duplicate noise are further modeled by an empirical way with the assumption that the noise appears at high density region with a high probability. We apply the method to crowd counting, human pose estimation and visual tracking, propose robust loss functions for those tasks, and achieve superior performance and robustness on widely used datasets.","1939-3539","","10.1109/TPAMI.2023.3299753","Research Grants Council of the Hong Kong Special Administrative Region, China(grant numbers:CityU 11212518,CityU 11215820); Strategic Research Grant from City University of Hong Kong(grant numbers:7005665); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10197253","Noisy point annotations;crowd counting;object counting;tracking;pose estimation;deep learning","Annotations;Pose estimation;Noise measurement;Visualization;Uncertainty;Predictive models;Prediction algorithms","","1","","91","IEEE","28 Jul 2023","","","IEEE","IEEE Journals"
"Propounding First Artificial Intelligence Approach for Predicting Robbery Behavior Potential in an Indoor Security Camera","S. Pouyan; M. Charmi; A. Azarpeyvand; H. Hassanpoor","Department of Electrical Engineering, University of Zanjan, Zanjan, Iran; Department of Electrical Engineering, University of Zanjan, Zanjan, Iran; Department of Electrical and Computer Engineering, University of Zanjan, Zanjan, Iran; Medical Engineering Department, Energy Institute of Higher Education, Saveh, Iran","IEEE Access","23 Jun 2023","2023","11","","60471","60489","Crime prediction in video-surveillance systems is required to prevent incident and protect assets. In this sense, our article proposes first artificial intelligence approach for Robbery Behavior Potential (RBP) prediction and detection in an indoor camera. Our method is based on three detection modules including head cover, crowd and loitering detection modules for timely actions and preventing robbery. The two first modules are implemented by retraining YOLOV5 model with our gathered dataset which is annotated manually. In addition, we innovate a novel definition for loitering detection module which is based on DeepSORT algorithm. A fuzzy inference machine renders an expert knowledge as rules and then makes final decision about predicted robbery potential. This is laborious due to: different manner of robber, different angle of surveillance camera and low resolution of video images. We accomplished our experiment on real world video surveillance images and reaching the F1-score of 0.537. Hence, to make an experimental comparison with the other related works, we define threshold value for RBP to evaluate video images as a robbery detection problem. Under this assumption, the experimental results show that the proposed method performs significantly better in detecting the robbery as compared to the robbery detection methods by distinctly report with F1-score of 0.607. We strongly believe that the application of the proposed method could cause reduction of robbery detriment in a control center of surveillance cameras by predicting and preventing incident of robbery. On the other hand, situational awareness of human operator enhances and more cameras can be managed.","2169-3536","","10.1109/ACCESS.2023.3284472","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10147209","Surveillance videos;low resolution;RBP prediction;deep learning method;fuzzy inference machine","Behavioral sciences;Prediction algorithms;Cameras;Feature extraction;Security;Magnetic heads;Surveillance;Deep learning;Fuzzy systems;Inference","","4","","56","CCBYNCND","9 Jun 2023","","","IEEE","IEEE Journals"
"Research on Evaluation Model of Advertising Design Effectiveness Based on Expression Recognition Algorithm","J. Liu","Liaoning Institute of Science and Technology, Benxi, China","2023 IEEE 3rd International Conference on Electronic Communications, Internet of Things and Big Data (ICEIB)","7 Jul 2023","2023","","","375","378","Advertising and publicity work in public places is essential for product promotion, but there is a lack of efficient automatic methods for evaluating the effectiveness of advertising and publicity. Therefore, in response to this situation, a computer vision analysis-based advertising effectiveness evaluation system is proposed. The system collects images of the activity scene of the crowd in front of the advertisement, measures and tracks people who are staring at the advertisement in the images, records their gaze time and conducts a quantitative evaluation of the consumer response to the advertisement through the analysis of the number of gaze groups, gaze duration, and attention level. For facial detection, the AdaBoost classifier is used with particle filters for facial tracking. Face detection and tracking compensate and adjust each other, enhancing the credibility of face tracking. The research results demonstrate the rationality of the proposed technology.","","979-8-3503-3386-2","10.1109/ICEIB57887.2023.10170338","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10170338","Expression Recognition;Algorithm;Advertisement;Design Effect","Data analysis;Face recognition;Big Data;Time measurement;Particle filters;Classification algorithms;Face detection","","","","15","IEEE","7 Jul 2023","","","IEEE","IEEE Conferences"
"Video Object Segmentation by Latent Outcome Regression","L. Zhang; Y. Lu","Beijing Laboratory of Intelligent Information Technology, School of Computer Science, Beijing Institute of Technology, Beijing, China; Beijing Laboratory of Intelligent Information Technology, School of Computer Science, Beijing Institute of Technology, Beijing, China","IEEE Access","17 Feb 2020","2020","8","","30355","30367","This paper presents a novel algorithm for unsupervised video object segmentation (UVOS) in unconstrained scenarios. Although a large variety of methods have been proposed in the literature, segmenting generic objects is still challenging because different methods often perform well in different situations, and no single method can outperform the others in all cases. To address this, we propose to solve the problem of UVOS in a crowd-sourcing setting. We claim that one can achieve superior results by aggregating the predictions of multiple imperfect methods in a reasonable way. Specifically, we propose a latent regression algorithm for ensemble-based segmentation by jointly labelling pixels in a sequence and learning an adaptive weight for each single method in an ensemble. The pixel labellings offer the outcome (pseudo groundtruth) for regression and thus promote the procedure of weight learning, while the learnt weights could provide better shape priors for labelling, resulting in more accurate segmentation. Besides, Laplacian regularization is introduced into the regression to facilitate a stable learning of the weights. The most distinct feature of our algorithm is that it adaptively learns the contributions of different single methods for each test sequence, thus is capable of capturing the advantages of those methods while avoiding their weaknesses. In the experiments, our algorithm is built on 14 non-deep learning segmentation methods which are based on handcrafted features and require no training data. Experimental results on popular benchmarks show that our algorithm achieves compelling performance, even in comparison with deep learning-based methods. Furthermore, benefiting from the adaptive weight learning mechanism, our algorithm can achieve good flexibility and usability by choosing the most complementary single methods without losing too much performance.","2169-3536","","10.1109/ACCESS.2020.2971964","National Natural Science Foundation of China(grant numbers:61273273); National Key Research and Development Plan of China(grant numbers:2017YFC0112001); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8985334","Video object segmentation;latent regression;appearance modelling;unsupervised","Object segmentation;Task analysis;Motion segmentation;Training data;Optical imaging;Tracking;Shape","","2","","71","CCBY","6 Feb 2020","","","IEEE","IEEE Journals"
"Fake News Detection Model for Regional Language","J. Nair; S. S. Akhil; V. Harisankar","Department of Computer Science and Applications, Amrita Vishwa Vidyapeetham, Amritapuri, India; Department of Computer Science and Applications, Amrita Vishwa Vidyapeetham, Amritapuri, India; Department of Computer Science and Applications, Amrita Vishwa Vidyapeetham, Amritapuri, India","2022 IEEE 7th International conference for Convergence in Technology (I2CT)","18 Jul 2022","2022","","","1","7","Social media has expanded far and wide in the past few years, which has led to the ease of circulating any kind of news and posts all over the network. The work that we are pursuing currently focuses on the prevention of the circulation of large, misinformed news over the network. The different machine and deep learning techniques incorporated with certain Natural Language Processing techniques can result in achieving such good models to filter the fake news and real news apart from themselves. The social media spectrum is active in other low-resource language domains like Malayalam exactly how it prevails in other languages which currently aids in the inflation of rumors and false accusations among the masses. The main objective is to classify the incoming Malayalam contextual news and other rumors to aid humans in fast-tracking the manual verification or detection process of the news. The introduction of the classifier with an additional front-end interface to assist the people in the time of a crisis would help the crowd to a great degree with dynamic regular feeding of real-time data to the language model.","","978-1-6654-2168-3","10.1109/I2CT54291.2022.9824641","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9824641","CNN;LSTM;Web Crawling;Data Mining;traditional news;Malayalam","Deep learning;Social networking (online);Conferences;Manuals;Real-time systems;Natural language processing;Data models","","2","","16","IEEE","18 Jul 2022","","","IEEE","IEEE Conferences"
"Action4D: Online Action Recognition in the Crowd and Clutter","Q. You; H. Jiang","Microsoft Cloud & AI, Redmond, WA; Microsoft Cloud & AI, Redmond, WA","2019 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR)","9 Jan 2020","2019","","","11849","11858","Recognizing every person's action in a crowded and cluttered environment is a challenging task in computer vision. We propose to tackle this challenging problem using a holistic 4D ``scan'' of a cluttered scene to include every detail about the people and environment. This leads to a new problem, i.e., recognizing multiple people's actions in the cluttered 4D representation. At the first step, we propose a new method to track people in 4D, which can reliably detect and follow each person in real time. Then, we build a new deep neural network, the Action4DNet, to recognize the action of each tracked person. Such a model gives reliable and accurate results in the real-world settings. We also design an adaptive 3D convolution layer and a novel discriminative temporal feature learning objective to further improve the performance of our model. Our method is invariant to camera view angles, resistant to clutter and able to handle crowd. The experimental results show that the proposed method is fast, reliable and accurate. Our method paves the way to action recognition in the real-world applications and is ready to be deployed to enable smart homes, smart factories and smart stores.","2575-7075","978-1-7281-3293-8","10.1109/CVPR.2019.01213","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8954340","RGBD sensors and analytics;Action Recognition;Deep Learning","Representation learning;Adaptation models;Computer vision;Solid modeling;Three-dimensional displays;Convolution;Computer network reliability","","6","","30","IEEE","9 Jan 2020","","","IEEE","IEEE Conferences"
"Interfacing a Flying Robot with OpenCV","P. Abirami; K. R. S. Vadivu; R. H. Lalitha; M. Pushpavalli; P. Sivagami; R. Harikrishnan; I. S. Ahmed","EEE / B S Abdur Rahman Crescent Institute of Science and Technology, Chennai, India; EEE / B S Abdur Rahman Crescent Institute of Science and Technology, Chennai, India; EEE / B S Abdur Rahman Crescent Institute of Science and Technology, Chennai, India; EEE / Sathyabama Institute of Science and Technology, Chennai, India; EEE / Sathyabama Institute of Science and Technology, Chennai, India; ETC / Symbiosis Institute of Technology, Symbiosis International Deemed University, Pune, India; EEE / B S Abdur Rahman Crescent Institute of Science and Technology, Chennai, India","2023 IEEE International Conference on ICT in Business Industry & Government (ICTBIG)","19 Mar 2024","2023","","","1","11","This research work is carried out to satisfy the requirements of developing industries. As per our today's requirements, safety plays a vital role in all industries. Also, a cost-effective system is required to maintain safety around our workplaces. By considering all the factors in mind, a flying robot system is made to instruct the employees to safeguard themselves by identifying near misses in the industries. The main aim of the work is to design a flying robot system with a camera to identify persons without safety equipment. So, every half an hour the images will be automatically captured by the surveillance drone and sent to the ground station which is operated by the OpenCV library for tracking objects like monitoring the crowd, detecting fire, and near misses to safeguard the employees from accidents. Here, a functional prototype is developed to achieve the goals and implement it in industrial applications.","","979-8-3503-4327-4","10.1109/ICTBIG59752.2023.10456011","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10456011","Open CV;Pixhawk microcontroller;Path Mapping","Industries;Surveillance;Robot vision systems;Prototypes;Crops;Cameras;Libraries","","","","10","IEEE","19 Mar 2024","","","IEEE","IEEE Conferences"
"The Effect of Virtual Reality and Heart Rate Variability Using Deep Learning for Reducing Stage Fright- Glossophobia","J. M. Khurpade; A. A. Gangawane; G. S. Ostwal; D. M. Lalwani; R. G. Vidye","Department of Computer Engg, MIT Polytechnic, Pune, Maharashtra, India; Department of Computer Engg, MIT Polytechnic, Pune, Maharashtra, India; Department of Computer Engg, MIT Polytechnic, Pune, Maharashtra, India; Department of Computer Engg, MIT Polytechnic, Pune, Maharashtra, India; Department of Computer Engg, MIT Polytechnic, Pune, Maharashtra, India","2020 International Conference on Industry 4.0 Technology (I4Tech)","28 May 2020","2020","","","195","198","Glossophobia is the most common problem in today's world. Glossophobia leads to the problem of lack of confidence, high blood pressure, depression and dry mouth. In this project we plan to create system that will help all these brilliant minds in making their voices heard. The major fear while public speaking is the crowd and the thought of messing up in front of so many people. We plan to overcome both these problems by using Virtual Reality. It is quite a new technology and therefore is still in a developmental stage, its potential is hidden. We think by creating an auditorium full of people in Virtual Reality will help people develop the stage confidence public speaking needs. We will develop a system to keep track of the users fumbling and his heart rate to understand how confident the person is. With all this information, the system will give him, a grade to make it engage, a few pointers and constructive criticism. In this system user's Speech will be recorded, then it will be converted to text. Converted text will be compared using different text comparison algorithm to develop a result vector which will be used to generate result statistics and thus help user to know his/her skills.","","978-1-7281-5003-1","10.1109/I4Tech48345.2020.9102645","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9102645","Virtual;Reality;learning;recognition;voice;Artificial;Intelligence","Heart rate;Virtual reality;Biological neural networks;Solid modeling;Training;Biomedical monitoring;Artificial intelligence","","1","","12","IEEE","28 May 2020","","","IEEE","IEEE Conferences"
"The Indoor People Tracking and Counting System","H. -P. Lin; C. -C. Han; J. -W. Liao; C. -H. Ciou; Y. -C. Hong; M. -L. Tan","Ph. D. Program in Material and Chemical Engineering, National United University, MiaoLi, Taiwan; Department of Computer Science and Information Engineering, National United University, MiaoLi, Taiwan; Department of Computer Science and Information Engineering, National United University, MiaoLi, Taiwan; Department of Computer Science and Information Engineering, National United University, MiaoLi, Taiwan; Department of Computer Science and Information Engineering, National United University, MiaoLi, Taiwan; Department of Computer Science and Information Engineering, National United University, MiaoLi, Taiwan","2023 International Automatic Control Conference (CACS)","27 Nov 2023","2023","","","1","6","COVID-19 outbreaks and becomes serious from 2019 winter. Taking body temperature, wearing masks, recording footprint and avoiding crowds become important tasks and require a lot of manpower support for the prevention of the epidemic in every. In this study, we have integrated the infrared thermometer devices to measure people temperature and the people identities through RGB images at the entrance of buildings. Using the computer vision and deep learning methods, we would like to build a 24/7 and region-wide coverage assistance system to automatically record the footprint of a specific people in the building. We also detect if people taking off their masks in the yard at any time. The processing videos are grabbed from the existing CCTV systems. The developed system also locates the crowd and calculate the number of people in a specified area, and the manager can know the number of people and control the access in real time. It will reduce the burden of manpower. In addition, we have optimized the system performance to handle multiple camera videos and to reduce the hardware cost at the same time.","2473-7259","979-8-3503-0635-4","10.1109/CACS60074.2023.10326194","National Science and Technology Council; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10326194","","Temperature measurement;Epidemics;Thermometers;System performance;Buildings;Real-time systems;Hardware","","","","21","IEEE","27 Nov 2023","","","IEEE","IEEE Conferences"
"Deep Learning based Customer Count/Flow Monitoring System for Social Distancing","P. Zamorski; M. N. Asghar; L. Cooke; S. Daly; J. Francis; N. Kanwal; M. S. Ansari; E. Fallon","Department of Computer and Software Engineering, Athlone Institute of Technology, Ireland; Department of Computer and Software Engineering, Athlone Institute of Technology, Ireland; Department of Computer and Software Engineering, Athlone Institute of Technology, Ireland; Department of Computer and Software Engineering, Athlone Institute of Technology, Ireland; Department of Computer and Software Engineering, Athlone Institute of Technology, Ireland; Department of Computer and Software Engineering, Athlone Institute of Technology, Ireland; Department of Electronics Engineering, Aligarh Muslim University, India; Department of Computer and Software Engineering, Athlone Institute of Technology, Ireland","2021 IEEE Intl Conf on Dependable, Autonomic and Secure Computing, Intl Conf on Pervasive Intelligence and Computing, Intl Conf on Cloud and Big Data Computing, Intl Conf on Cyber Science and Technology Congress (DASC/PiCom/CBDCom/CyberSciTech)","15 Mar 2022","2021","","","831","836","Despite the COVID-19 vaccination drives, use of preventative measures such as masks and social distancing are still deemed essential. This paper presents an application that will allow businesses/enterprises to monitor the flow of customers by detecting people as objects, counting the number of people, tracking the safe distance between them to maintain the two-meter distance norm. The proposed solution is set up to generate an alarm when the customers reach the allowed limit as per shop dimensions or overcrowding is detected. For the implementation, YOLOv4 and YOLOv3-Tiny were used for the task of object detection and transfer learning is used to set up weights. The models were evaluated using MSCOCO API with 100 image instances per class. The results of the YOLOv4 model are also compared with YOLOv3-Tiny in terms of calculating mean, average precision (AP), frames per second (FPS), and identification of groups (crowd). Experimental results (on several video clips from a shopping center CCTV) show that the YOLOv3-Tiny maintains real-time performance even on modest hardware. It is further demonstrated that if a high-end GPU is available, the overall detection of objects and cluster identification is much more accurate and clearer using YOLOv4.","","978-1-6654-2174-4","10.1109/DASC-PICom-CBDCom-CyberSciTech52372.2021.00138","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9730405","COVID-19;Deep learning;Person detection;Physical distancing;YOLOv4;YOLOv3-Tiny","COVID-19;Transfer learning;Human factors;Streaming media;Social factors;Real-time systems;Vaccines","","","","22","IEEE","15 Mar 2022","","","IEEE","IEEE Conferences"
"Advertising Machine System Design Based on RK3399Pro","M. Wang; Q. Hou; A. Peng","College of Artificial Intelligence, Jianghan University, Wuhan, China; College of Artificial Intelligence, Jianghan University, Wuhan, China; College of Artificial Intelligence, Jianghan University, Wuhan, China","2023 IEEE 11th Joint International Information Technology and Artificial Intelligence Conference (ITAIC)","1 Feb 2024","2023","11","","1066","1072","With the rapid advancement of public information dissemination technology, an increasing number of public venues, such as malls, stations, and airports, are facing complex crowd dynamics and information dissemination needs. To address these challenges more effectively, this study introduces a smart advertising system based on the $RK3399Pro$ embedded platform. This system not only serves primary information display purposes but also incorporates security surveillance and crowd counting functions. $Specifically:1$. Given the security needs of public places, we've integrated a network communication module and OV13850 camera into the advertising system for real-time surveillance.2. The system, leveraging the hardware decoding capabilities of the video processor and using FFmpeg transcoding, supports $4K$ video playback encoded with H.265-hevc, ensuring high-definition and latency-free visuals.3. To address data collection in high-footfall areas, we designed a crowdcounting feature by integrating YOLOv7 and DeepSORT algorithms. Experimental results indicate that the system maintains a refresh rate of $25FPS$ when playing videos of $3840\times 2160$ resolution encoded in H.265 format, ensuring smooth visuals. Surveillance videos, after optimized encoding, are reduced to a fifth of their original size, significantly saving storage space. Moreover, in multiple crowd counting tests, the system achieved an impressive recognition accuracy rate of 92.2%, underlining its utility and stability.","2693-2865","979-8-3503-3366-4","10.1109/ITAIC58329.2023.10409108","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10409108","YOLO;optimized encoding;RK3399Pro;crowed-counting;advertising system;H.265","Pedestrians;Surveillance;Transcoding;Object detection;Streaming media;Security;Advertising","","","","11","IEEE","1 Feb 2024","","","IEEE","IEEE Conferences"
"Real-Time Aerial Suspicious Analysis (ASANA) System for the Identification and Re-Identification of Suspicious Individuals using the Bayesian ScatterNet Hybrid (BSH) Network","A. Singh; K. Kiran G.V.; O. Harsh; R. Kumar; K. Singh Rajput; C. S .S. Vamsi","Skylark Labs LLC., San Francisco, USA; NIT Warangal; Skylark Labs LLP., Warangal, India; Skylark Labs LLP., Warangal, India; Skylark Labs LLP, Warangal, India; Skylark Labs LLP, Warangal, India","2019 IEEE/CVF International Conference on Computer Vision Workshop (ICCVW)","5 Mar 2020","2019","","","73","81","Video monitoring and safety systems have been used to keep track of hostiles, conduct border control operations as well as to monitor the suspicious entities in public spaces. However, these systems are inadequate for the monitoring of large crowds due to the limited field of view of cameras. This paper introduces the Aerial Suspicious Analysis (ASANA) System for the Identification and Re-Identification of suspicious Individuals in large public areas using the Bayesian ScatterNet Hybrid (BSH) Network. The BSH network first estimates the human pose in each frame. Next, a batch of frames is used by the Bayesian 3D ResNext to identify individuals with suspicious postures. The system can also re-identify the identified suspicious individuals as they tend to move after committing the suspicious event. The proposed architecture is advantageous as it can learn meaningful representations quickly using the ScatterNet with fewer labelled examples. This is of great importance as real-life annotated training samples are hard to collect, especially for these applications. The pose estimation, suspicious individual identification, and re-identification performance of the proposed framework is compared with the state-of-the-art techniques. The proposed dataset is also made public which may encourage other researchers who are interested in using the deep learning technique for aerial visual crowd monitoring.","2473-9944","978-1-7281-5023-9","10.1109/ICCVW.2019.00015","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9022217","Drone;Suspicious Analysis;Suspicious Individuals;Identification;Re identification;Bayesian;ScatterNet;Deep Learning","Personal area networks;Drones;Feature extraction;Bayes methods;Monitoring;Real-time systems;Training","","3","1","27","IEEE","5 Mar 2020","","","IEEE","IEEE Conferences"
"A Review on Unconstrained Real-Time Rotation-Invariant Face Detection","S. L. Agrwal; S. K. Sharma; V. Kant","Department of Computer Science & Engineering, Manipal University Jaipur, LNM Institute of Information Technology, Jaipur, India; Department of Computer Science & Engineering, LNM Institute of Information Technology, Jaipur, India; Department of Computer Science & Engineering RGSC, Banaras Hindu University, Varanasi, India","2023 3rd International Conference on Intelligent Communication and Computational Techniques (ICCT)","27 Mar 2023","2023","","","1","7","With the amazing growth of image and video databases, there is a vast need for intelligent systems to automatically understand and look at information since doing it by hand is getting very hard. Faces are significant in social interactions because they show the feelings and identity of a person. People are not much better than machines at recognizing different faces. The automatic face detection system is a key in head pose tracking, face verification, face recognition, face tracking, face animation, face modeling, facial expression recognition, age and gender recognition, and behavior analysis in a crowd. Face detection is a way for a computer to find out the size and location of a face in an image. Face detection has been an outstanding issue in computer vision literature. This paper provides an overview of pose and rotation invariant face detection approaches with architecture designs and performance on popular benchmark datasets. The benchmark datasets used for face detection are listed as their key features. This paper also talks about different applications and challenges with face detection. Also, we set up special discussions on the practical aspects of making a face-detection system that works well. We end this paper by suggesting a few promising directions for future research.","","978-1-6654-5357-8","10.1109/ICCT56969.2023.10076222","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10076222","Face detection;Rotation and pose invariant face detection;Deep learning","Databases;Face recognition;Computer architecture;Benchmark testing;Feature extraction;Real-time systems;Magnetic heads","","","","39","IEEE","27 Mar 2023","","","IEEE","IEEE Conferences"
"SR-LSTM: State Refinement for LSTM Towards Pedestrian Trajectory Prediction","P. Zhang; W. Ouyang; P. Zhang; J. Xue; N. Zheng","Institute of Artificial Intelligence and Robotics, Xian Jiaotong University, China; SenseTime Computer Vision Research Group, The University of Sydney, Australia; Institute of Artificial Intelligence and Robotics, Xian Jiaotong University, China; Institute of Artificial Intelligence and Robotics, Xian Jiaotong University, China; Institute of Artificial Intelligence and Robotics, Xian Jiaotong University, China","2019 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR)","9 Jan 2020","2019","","","12077","12086","In crowd scenarios, reliable trajectory prediction of pedestrians requires insightful understanding of their social behaviors. These behaviors have been well investigated by plenty of studies, while it is hard to be fully expressed by hand-craft rules. Recent studies based on LSTM networks have shown great ability to learn social behaviors. However, many of these methods rely on previous neighboring hidden states but ignore the important current intention of the neighbors. In order to address this issue, we propose a data-driven state refinement module for LSTM network (SR-LSTM), which activates the utilization of the current intention of neighbors, and jointly and iteratively refines the current states of all participants in the crowd through a message passing mechanism. To effectively extract the social effect of neighbors, we further introduce a social-aware information selection mechanism consisting of an element-wise motion gate and a pedestrian-wise attention to select useful message from neighboring pedestrians. Experimental results on two public datasets, i.e. ETH and UCY, demonstrate the effectiveness of our proposed SR-LSTM and we achieve state-of-the-art results.","2575-7075","978-1-7281-3293-8","10.1109/CVPR.2019.01236","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8954402","Motion and Tracking;Deep Learning","","","295","","55","IEEE","9 Jan 2020","","","IEEE","IEEE Conferences"
"An Integrated Number Plate Recognition System through images using Threshold-based methods and KNN","V. Uma Maheswari; R. Aluvalu; S. Mudrakola","Vardhaman College of Engineering, Hyderabad, India; Chaitanya Bharathi Institute of Technology(A), Hyderabad, India; Matrusri Engineering College, Hyderabad, India","2022 International Conference on Decision Aid Sciences and Applications (DASA)","2 May 2022","2022","","","493","497","In the last few decades, the use of vehicles in our daily life has become mandatory and increased drastically. Sometimes, controlling traffic and identifying vehicle owners manually becomes tedious due to crowd signals, which disobey the traffic rules and drive fast and abnormal. This demands an efficient and automatic system to solve the problem these days. Still, it is challenging in such cases as moving vehicles fast, font on number plate, illumination, etc. This led to developing efficient and automatic number plate detection as the solution. This paper presents automatic number plate detection with number diagnosis and tracking by applying various methods such as thresholding, morphological methods, contour detection, etc. Later, KNN is used for classification to improve accuracy. The proposed method tested on datasets DB1 and DB2 proves better in terms of accuracy, recognition rate, and retrieval rate.","","978-1-6654-9501-1","10.1109/DASA54658.2022.9765218","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9765218","Image feature extraction;Morphological operations;Thresholding;Contour detection;KNN","Support vector machines;Deep learning;Image edge detection;Lighting;Drives;Benchmark testing;Feature extraction","","5","","30","IEEE","2 May 2022","","","IEEE","IEEE Conferences"
"Single-Frame-Based Deep View Synchronization for Unsynchronized Multicamera Surveillance","Q. Zhang; A. B. Chan","Guangdong Laboratory of Artificial Intelligence and Digital Economy (SZ), Shenzhen, China; Department of Computer Science, City University of Hong Kong, Hong Kong SAR, China","IEEE Transactions on Neural Networks and Learning Systems","30 Nov 2023","2023","34","12","10653","10667","Multicamera surveillance has been an active research topic for understanding and modeling scenes. Compared to a single camera, multicameras provide larger field-of-view and more object cues, and the related applications are multiview counting, multiview tracking, 3-D pose estimation or 3-D reconstruction, and so on. It is usually assumed that the cameras are all temporally synchronized when designing models for these multicamera-based tasks. However, this assumption is not always valid, especially for multicamera systems with network transmission delay and low frame rates due to limited network bandwidth, resulting in desynchronization of the captured frames across cameras. To handle the issue of unsynchronized multicameras, in this article, we propose a synchronization model that works in conjunction with existing deep neural network (DNN)-based multiview models, thus avoiding the redesign of the whole model. We consider two variants of the model, based on where in the pipeline the synchronization occurs, scene-level synchronization and camera-level synchronization. The view synchronization step and the task-specific view fusion and prediction step are unified in the same framework and trained in an end-to-end fashion. Our view synchronization models are applied to different DNNs-based multicamera vision tasks under the unsynchronized setting, including multiview counting and 3-D pose estimation, and achieve good performance compared to baselines.","2162-2388","","10.1109/TNNLS.2022.3170642","Research Grant Council of Hong Kong Special Administrative Region (SAR), China(grant numbers:TR32-101/15-R,CityU 11212518,CityU SRG 7005665,GRF CityU 11215820); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9775149","Crowd counting;deep learning;image matching;pose estimation;surveillance","Synchronization;Cameras;Task analysis;Pose estimation;Computational modeling;Surveillance;Geometry;Crowdsourcing;Image matching","","1","","57","IEEE","16 May 2022","","","IEEE","IEEE Journals"
